bugid,when,what,removed,added
1478053,2018-08-01 02:57:07 PDT,CC,,"odvarko, pascalc"
1478053,2018-08-01 02:57:07 PDT,Flags,,needinfo?(odvarko)
1478053,2018-08-01 02:57:07 PDT,tracking-firefox62,---,+
1478053,2018-08-01 02:57:07 PDT,tracking-firefox63,?,+
1478053,2018-08-06 01:26:08 PDT,Flags,needinfo?(odvarko),
1478053,2018-08-06 02:40:01 PDT,CC,,jduell.mcbugs
1478053,2018-08-06 02:40:01 PDT,Flags,,needinfo?(jduell.mcbugs)
1478053,2018-08-09 07:07:01 PDT,Assignee,andrei.a.lazar,nobody
1478053,2018-08-14 08:31:19 PDT,CC,,honzab.moz
1478053,2018-08-14 08:31:19 PDT,Flags,needinfo?(jduell.mcbugs),
1478053,2018-08-15 08:09:20 PDT,CC,,mozillamarcia.knous
1478053,2018-08-15 08:09:20 PDT,Flags,,needinfo?(andrei.a.lazar)
1478053,2018-08-16 08:57:36 PDT,Flags,needinfo?(andrei.a.lazar),needinfo?(mozillamarcia.knous)
1478053,2018-08-22 09:56:27 PDT,CC,,paolo.mozmail
1478053,2018-08-22 09:56:27 PDT,Flags,needinfo?(mozillamarcia.knous),needinfo?(paolo.mozmail)
1478053,2018-08-23 00:27:15 PDT,Flags,needinfo?(paolo.mozmail),
1478053,2018-08-29 08:05:44 PDT,CC,,"abovens, miket"
1478053,2018-08-29 08:05:44 PDT,Flags,,needinfo?(abovens)
1478053,2018-08-29 08:06:34 PDT,status-firefox62,affected,fix-optional
1478053,2018-09-03 09:30:05 PDT,Flags,needinfo?(abovens),
1478053,2018-09-17 04:12:07 PDT,CC,,sdaswani
1478053,2018-09-17 04:12:07 PDT,Flags,,needinfo?(sdaswani)
1478053,2018-09-17 16:48:12 PDT,CC,,vlad.baicu
1478053,2018-09-17 16:48:12 PDT,Flags,needinfo?(sdaswani),needinfo?(vlad.baicu)
1478053,2018-09-18 02:17:39 PDT,Assignee,nobody,vlad.baicu
1478053,2018-09-18 02:17:39 PDT,Flags,needinfo?(vlad.baicu),
1478053,2018-09-19 07:07:27 PDT,status-firefox62,fix-optional,wontfix
1478053,2018-09-19 15:04:55 PDT,Priority,--,P1
1478053,2018-09-19 15:04:55 PDT,CC,,cpeterson
1478053,2018-09-19 15:04:55 PDT,Summary,Progress notification is broken after closing app,Download progress notification can't be dismissed after closing app
1478053,2018-09-19 15:04:55 PDT,status-geckoview62,---,?
1478053,2018-09-19 15:04:55 PDT,status-firefox64,---,affected
1478053,2018-09-20 09:12:47 PDT,CC,,dbolter
1478053,2018-09-20 09:12:47 PDT,status-geckoview62,?,unaffected
1478053,2018-09-26 15:45:33 PDT,Attachment #9011878  Flags,,review+
1478053,2018-09-27 02:30:49 PDT,Keywords,,checkin-needed
1478053,2018-09-27 04:28:44 PDT,Keywords,checkin-needed,
1478053,2018-09-27 14:39:23 PDT,Status,NEW,RESOLVED
1478053,2018-09-27 14:39:23 PDT,Resolution,---,FIXED
1478053,2018-09-27 14:39:23 PDT,Target Milestone,---,Firefox 64
1478053,2018-09-27 14:39:23 PDT,Closed,,2018/9/27 21:39
1478053,2018-09-27 14:39:23 PDT,status-firefox64,affected,fixed
1478053,2018-09-27 14:39:23 PDT,Comment 18 Tag,,bugherder
1478053,2018-10-01 08:04:54 PDT,See Also,,1495443
1478053,2018-10-03 01:34:40 PDT,Flags,,needinfo?(vlad.baicu)
1478053,2018-10-03 03:21:04 PDT,Flags,needinfo?(vlad.baicu),
1478053,2018-10-11 05:28:15 PDT,status-firefox63,affected,wontfix
1478053,2019-01-17 07:14:19 PST,Status,RESOLVED,VERIFIED
1478053,2019-01-17 07:14:19 PST,CC,,mirabela.lobontiu
